,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,x,y
0,1,1140,272,7717,250,2,Варшавская 2,2G,EDGE,-1,-77,1435906005253,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
1,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-79,1435906005524,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
2,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-79,1435906006540,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
3,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-79,1435906007586,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
4,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-79,1435906008652,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
5,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-79,1435906009683,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
6,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-79,1435906010700,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
7,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-79,1435906011743,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
8,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-79,1435906012787,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
9,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-79,1435906013819,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
10,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-79,1435906014875,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
11,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-81,1435906015935,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
12,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-81,1435906017003,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
13,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-83,1435906018055,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
14,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-83,1435906019092,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
15,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-83,1435906020241,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
16,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-83,1435906021270,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
17,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-83,1435906022315,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
18,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-83,1435906023331,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
19,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-83,1435906024369,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
20,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-83,1435906025404,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
21,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-83,1435906026435,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
22,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-83,1435906027470,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
23,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-83,1435906028535,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
24,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-85,1435906029605,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
25,1,1140,,7717,250,2,ServiceLog,2G,EDGE,-1,-85,1435906030639,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
26,1,1140,273,7717,250,2,Варшавская 3,2G,EDGE,-1,-85,1435906031255,Andrey,300707086,0,027$,$026,37.61922,55.653189999999974
