,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,x,y
0,1,129593777,732,26803,250,99,Павелецкая (КЛЦ) 2,3G,HSDPA,-1,-89,1433354150631,balash,949512848,0,073$,$072,37.63766999999999,55.73178
1,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-89,1433354150997,balash,949512848,0,073$,$072,37.63766999999999,55.73178
2,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-89,1433354152015,balash,949512848,0,073$,$072,37.63766999999999,55.73178
3,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-89,1433354153047,balash,949512848,0,073$,$072,37.63766999999999,55.73178
4,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-89,1433354154071,balash,949512848,0,073$,$072,37.63766999999999,55.73178
5,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-89,1433354155110,balash,949512848,0,073$,$072,37.63766999999999,55.73178
6,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-91,1433354156150,balash,949512848,0,073$,$072,37.63766999999999,55.73178
7,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-91,1433354157199,balash,949512848,0,073$,$072,37.63766999999999,55.73178
8,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-91,1433354158238,balash,949512848,0,073$,$072,37.63766999999999,55.73178
9,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-93,1433354159252,balash,949512848,0,073$,$072,37.63766999999999,55.73178
10,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-93,1433354160289,balash,949512848,0,073$,$072,37.63766999999999,55.73178
11,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-93,1433354161309,balash,949512848,0,073$,$072,37.63766999999999,55.73178
12,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-93,1433354162351,balash,949512848,0,073$,$072,37.63766999999999,55.73178
13,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-93,1433354163399,balash,949512848,0,073$,$072,37.63766999999999,55.73178
14,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-93,1433354164448,balash,949512848,0,073$,$072,37.63766999999999,55.73178
15,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-93,1433354165483,balash,949512848,0,073$,$072,37.63766999999999,55.73178
16,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-93,1433354166521,balash,949512848,0,073$,$072,37.63766999999999,55.73178
17,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-89,1433354167565,balash,949512848,0,073$,$072,37.63766999999999,55.73178
18,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-89,1433354168602,balash,949512848,0,073$,$072,37.63766999999999,55.73178
19,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-89,1433354169623,balash,949512848,0,073$,$072,37.63766999999999,55.73178
20,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-89,1433354170667,balash,949512848,0,073$,$072,37.63766999999999,55.73178
21,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-89,1433354171706,balash,949512848,0,073$,$072,37.63766999999999,55.73178
22,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-89,1433354172751,balash,949512848,0,073$,$072,37.63766999999999,55.73178
23,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-91,1433354173785,balash,949512848,0,073$,$072,37.63766999999999,55.73178
24,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-91,1433354174848,balash,949512848,0,073$,$072,37.63766999999999,55.73178
25,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-91,1433354175889,balash,949512848,0,073$,$072,37.63766999999999,55.73178
26,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-91,1433354176933,balash,949512848,0,073$,$072,37.63766999999999,55.73178
27,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-91,1433354177967,balash,949512848,0,073$,$072,37.63766999999999,55.73178
28,1,129593777,,26803,250,99,ServiceLog,3G,HSDPA,-1,-91,1433354179007,balash,949512848,0,073$,$072,37.63766999999999,55.73178
29,1,129593777,733,26803,250,99,Павелецкая (КЛЦ) 3,3G,HSDPA,-1,-91,1433354179784,balash,949512848,0,073$,$072,37.63766999999999,55.73178
