,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,x,y
0,1,4121,253,100,250,1,Московская 3,2G,EDGE,-1,-107,1419230688332,Stanislav,1419230688,0.0,026$,$025,30.322537065095933,59.85132340257147
1,1,4121,,100,250,1,ServiceLog,2G,EDGE,-1,-107,1419230689132,Stanislav,1419230688,0.00021850334664843106,026$,$025,30.32253703687263,59.851326704663705
2,1,4121,,100,250,1,ServiceLog,2G,EDGE,-1,-113,1419230690141,Stanislav,1419230688,0.0011172627306977258,026$,$025,30.322536920783065,59.85134028699862
3,1,4121,,100,250,1,ServiceLog,2G,EDGE,-1,-113,1419230691152,Stanislav,1419230688,0.0027150408418114454,026$,$025,30.322536714403725,59.85136443311103
4,1,4121,,100,250,1,ServiceLog,2G,EDGE,-1,-113,1419230692160,Stanislav,1419230688,0.005002902563986498,026$,$025,30.32253641888873,59.851399007947926
5,1,4121,,100,250,1,ServiceLog,2G,EDGE,-1,-113,1419230693175,Stanislav,1419230688,0.00800768714789462,026$,$025,30.322536030771357,59.85144441707868
6,1,4121,,100,250,1,ServiceLog,2G,EDGE,-1,-109,1419230694195,Stanislav,1419230688,0.011735941792378333,026$,$025,30.322535549205906,59.85150075940174
7,1,4121,,100,250,1,ServiceLog,2G,EDGE,-1,-109,1419230695216,Stanislav,1419230688,0.016179306493101564,026$,$025,30.322534975272234,59.851567908523464
8,1,4121,,100,250,1,ServiceLog,2G,EDGE,-1,-109,1419230696233,Stanislav,1419230688,0.021312887719970787,026$,$025,30.322534312185734,59.851645488183095
9,1,4121,,100,250,1,ServiceLog,2G,EDGE,-1,-109,1419230697256,Stanislav,1419230688,0.027189254291738,026$,$025,30.322533553156276,59.85173429273467
10,1,4121,,100,250,1,ServiceLog,2G,EDGE,-1,-109,1419230698272,Stanislav,1419230688,0.03373268762979619,026$,$025,30.32253270796417,59.85183317782251
11,1,4121,254,100,250,1,Московская 4,2G,EDGE,-1,-109,1419230699114,Stanislav,1419230688,0.03373268762979619,026$,$025,30.32253270796417,59.85183317782251
12,1,4121,,100,250,1,ServiceLog,2G,EDGE,-1,-109,1419230699305,Stanislav,1419230688,0.03513886734654722,026$,$025,30.322532526332925,59.85185442812746
13,1,4121,,100,250,1,ServiceLog,2G,EDGE,-1,-113,1419230700313,Stanislav,1419230688,0.04255996223078757,026$,$025,30.322531567776387,59.85196657610639
14,1,4121,,100,250,1,ServiceLog,2G,EDGE,-1,-113,1419230701324,Stanislav,1419230688,0.05000314386366717,026$,$025,30.322530606366982,59.85207905748179
15,1,4121,,100,250,1,ServiceLog,2G,EDGE,-1,-113,1419230702334,Stanislav,1419230688,0.057438965587380084,026$,$025,30.322527963153775,59.852191415004285
16,1,4121,,100,250,1,ServiceLog,2G,EDGE,-1,-113,1419230703345,Stanislav,1419230688,0.06488214722025967,026$,$025,30.322522432827196,59.8523038623585
17,1,4121,,100,250,1,ServiceLog,2G,EDGE,-1,-113,1419230704354,Stanislav,1419230688,0.07231060552423631,026$,$025,30.322516913440143,59.852416086902174
18,1,4121,,100,250,1,ServiceLog,2G,EDGE,-1,-113,1419230705367,Stanislav,1419230688,0.07976851224130367,026$,$025,30.32251137217274,59.852528755953514
19,1,4121,,100,250,1,ServiceLog,2G,EDGE,-1,-113,1419230706373,Stanislav,1419230688,0.08717488204135625,026$,$025,30.32250586919757,59.852640646042154
20,1,4121,,100,250,1,ServiceLog,2G,EDGE,-1,-113,1419230707387,Stanislav,1419230688,0.0946401521781599,026$,$025,30.32250032245911,59.85275342557382
21,1,4121,,100,250,1,ServiceLog,2G,EDGE,-1,-113,1419230708413,Stanislav,1419230688,0.10219376755423569,026$,$025,30.32249471007963,59.85286753936808
22,1,4121,,100,250,1,ServiceLog,2G,EDGE,-1,-113,1419230709451,Stanislav,1419230688,0.10983572816958363,026$,$025,30.322489032059135,59.85298298741114
23,1,-1,,0,0,0,ServiceLog,2G,EDGE,-1,-113,1419230710472,Stanislav,1419230688,0.11735253171283241,026$,$025,30.322483447031065,59.8530965443001
24,1,-1,,0,0,0,ServiceLog,2G,EDGE,-1,-113,1419230711506,Stanislav,1419230688,0.12496504567037445,026$,$025,30.322477790889597,59.853211546698205
25,1,-1,,0,0,0,ServiceLog,2G,EDGE,-1,-113,1419230712514,Stanislav,1419230688,0.1323861405546148,026$,$025,30.322472276973606,59.853323656941996
26,1,-1,,0,0,0,ServiceLog,2G,EDGE,-1,-113,1419230713526,Stanislav,1419230688,0.13983668560723067,026$,$025,30.32246674117597,59.853436211708576
27,1,-1,,0,0,0,ServiceLog,2G,EDGE,-1,-113,1419230714535,Stanislav,1419230688,0.1472651439112073,026$,$025,30.32246122178891,59.853548432433456
28,1,-1,,0,0,0,ServiceLog,2G,EDGE,-1,-113,1419230715544,Stanislav,1419230688,0.15469360045989913,026$,$025,30.32245570240315,59.85366065275336
29,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1419230716551,Stanislav,1419230688,0.1621073354349728,026$,$025,30.322450193955614,59.853772650299845
30,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1419230717574,Stanislav,1419230688,0.16963886230712458,026$,$025,30.322444597988024,59.85388642691475
31,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1419230718616,Stanislav,1419230688,0.17731027309084804,026$,$025,30.322438898085885,59.85400231631579
32,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1419230719666,Stanislav,1419230688,0.18504058070075294,026$,$025,30.32243315442306,59.85411909504298
33,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1419230720706,Stanislav,1419230688,0.19269726815557342,026$,$025,30.32242746546044,59.854234761215295
34,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1419230721760,Stanislav,1419230688,0.20045702417856903,026$,$025,30.32242169991728,59.85435198398844
35,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1419230722800,Stanislav,1419230688,0.20811370987810476,026$,$025,30.322416010955962,59.8544676493247
36,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1419230723853,Stanislav,1419230688,0.21586610423664887,026$,$025,30.32241025088256,59.85458476006935
37,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1419230724892,Stanislav,1419230688,0.22351542827173312,026$,$025,30.322404567391,59.85470031338883
38,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1419230725950,Stanislav,1419230688,0.23130463446310426,026$,$025,30.322398779966196,59.85481797940388
39,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1419230727008,Stanislav,1419230688,0.23909383889919064,026$,$025,30.322392992542692,59.85493564497633
40,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1419230728057,Stanislav,1419230688,0.24681678484464406,026$,$025,30.322387254349632,59.855052309221456
41,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1419230729097,Stanislav,1419230688,0.25447347054417974,026$,$025,30.322381565388316,59.85516797212328
42,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1419230730148,Stanislav,1419230688,0.2622111415738209,026$,$025,30.322375816254436,59.85528485799172
43,1,8317840,,7803,250,2,ServiceLog,unknown,unknown,21,-97,1419230731196,Stanislav,1419230688,0.26992672585482286,026$,$025,30.322370083531133,59.855401409807115
44,1,8317840,,7803,250,2,ServiceLog,unknown,unknown,21,-97,1419230732258,Stanislav,1419230688,0.27774537870399996,026$,$025,30.32236427422729,59.85551951816249
45,1,8317840,,7803,250,2,ServiceLog,unknown,unknown,21,-97,1419230733279,Stanislav,1419230688,0.28526218400253356,026$,$025,30.322358689197912,59.855633066421774
46,1,8317840,,7803,250,2,ServiceLog,unknown,unknown,21,-97,1419230734314,Stanislav,1419230688,0.29288205786924226,026$,$025,30.322353027587994,59.85574817123108
47,1,8317840,,7803,250,2,ServiceLog,unknown,unknown,21,-109,1419230735337,Stanislav,1419230688,0.3004135864966788,026$,$025,30.322347431619097,59.85586194111757
48,1,8317840,,7803,250,2,ServiceLog,unknown,unknown,21,-109,1419230736374,Stanislav,1419230688,0.30804818720286004,026$,$025,30.322341759067058,59.85597726759486
49,1,8317840,,7803,250,2,ServiceLog,unknown,unknown,21,-113,1419230737396,Stanislav,1419230688,0.3155723524105603,026$,$025,30.322336168569223,59.856090925468465
50,1,8317840,,7803,250,2,ServiceLog,unknown,unknown,21,-113,1419230738429,Stanislav,1419230688,0.32317750294836606,026$,$025,30.322330517898827,59.856205806288614
51,1,22404,,7803,250,2,ServiceLog,unknown,unknown,-1,-91,1419230739455,Stanislav,1419230688,0.33073111832444185,026$,$025,30.322324905519345,59.85631990824347
52,1,22404,,7803,250,2,ServiceLog,unknown,unknown,-1,-91,1419230740489,Stanislav,1419230688,0.33834363228198383,026$,$025,30.322319249377884,59.85643489950133
53,1,22404,,7803,250,2,ServiceLog,unknown,unknown,-1,-89,1419230741510,Stanislav,1419230688,0.3458604358252327,026$,$025,30.322313664349803,59.856548444610205
54,250-2-7803-22404,-1,,0,0,0,ServiceLog,unknown,unknown,-1,-89,1419230741510,Stanislav,1419230688,0.3458604358252327,026$,$025,30.322313664349803,59.856548444610205
55,1,22404,,7803,250,2,ServiceLog,unknown,unknown,-1,-89,1419230742548,Stanislav,1419230688,0.3535023981958654,026$,$025,30.322307986328006,59.85666387990906
56,250-2-7803-22404,-1,,0,0,0,ServiceLog,unknown,unknown,-1,-89,1419230742548,Stanislav,1419230688,0.3535023981958654,026$,$025,30.322307986328006,59.85666387990906
57,1,22404,,7803,250,2,ServiceLog,unknown,unknown,-1,-89,1419230743573,Stanislav,1419230688,0.3610486501522049,026$,$025,30.322302379419593,59.85677786906577
58,250-2-7803-22404,22406,,7803,250,2,ServiceLog,unknown,unknown,-1,-91,1419230743573,Stanislav,1419230688,0.3610486501522049,026$,$025,30.322302379419593,59.85677786906577
59,1,22404,,7803,250,2,ServiceLog,unknown,unknown,-1,-89,1419230744606,Stanislav,1419230688,0.36865380069001064,026$,$025,30.322296728749187,59.85689274751404
60,250-2-7803-22404,22406,,7803,250,2,ServiceLog,unknown,unknown,-1,-91,1419230744606,Stanislav,1419230688,0.36865380069001064,026$,$025,30.322296728749187,59.85689274751404
61,1,22404,,7803,250,2,ServiceLog,unknown,unknown,-1,-91,1419230745632,Stanislav,1419230688,0.37620741606608643,026$,$025,30.322291116369712,59.85700684711309
62,250-2-7803-22404,22406,,7803,250,2,ServiceLog,unknown,unknown,-1,-89,1419230745632,Stanislav,1419230688,0.37620741606608643,026$,$025,30.322291116369712,59.85700684711309
63,1,22404,,7803,250,2,ServiceLog,unknown,unknown,-1,-91,1419230746668,Stanislav,1419230688,0.3838346533525314,026$,$025,30.322285449288735,59.857122058395895
64,250-2-7803-22404,22406,,7803,250,2,ServiceLog,unknown,unknown,-1,-89,1419230746668,Stanislav,1419230688,0.3838346533525314,026$,$025,30.322285449288735,59.857122058395895
