,Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,x,y
0,1,3981,22 окт. 2015 г. 22:30:51,653,100,250,1,Ладожская 3,2G,EDGE,-1,-67,1445542251365,lena ,1445542251,0.0,064$,$065,119655405,30.442383525388884,59.93149244149347
1,250-1-100-3981,14163,22 окт. 2015 г. 22:30:51,653,7803,250,2,Ладожская 3,2G,EDGE,-1,-67,1445542251365,lena ,1445542251,0.0,064$,$065,119655405,30.442383525388884,59.93149244149347
2,1,3981,22 окт. 2015 г. 22:30:52,,100,250,1,ServiceLog,2G,EDGE,-1,-65,1445542252105,lena ,1445542251,0.0001981418433220882,064$,$065,119655405,30.44238925937996,59.93149071911573
3,250-1-100-3981,14163,22 окт. 2015 г. 22:30:52,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542252105,lena ,1445542251,0.0001981418433220882,064$,$065,119655405,30.44238925937996,59.93149071911573
4,1,3981,22 окт. 2015 г. 22:30:53,,100,250,1,ServiceLog,2G,EDGE,-1,-65,1445542253116,lena ,1445542251,0.0011093919353837908,064$,$065,119655405,30.44241562988206,59.93148279793633
5,250-1-100-3981,14163,22 окт. 2015 г. 22:30:53,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542253116,lena ,1445542251,0.0011093919353837908,064$,$065,119655405,30.44241562988206,59.93148279793633
6,1,3981,22 окт. 2015 г. 22:30:54,,100,250,1,ServiceLog,2G,EDGE,-1,-65,1445542254137,lena ,1445542251,0.002780348422732095,064$,$065,119655405,30.442463985390535,59.93146827288914
7,250-1-100-3981,14163,22 окт. 2015 г. 22:30:54,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542254137,lena ,1445542251,0.002780348422732095,064$,$065,119655405,30.442463985390535,59.93146827288914
8,1,3981,22 окт. 2015 г. 22:30:55,,100,250,1,ServiceLog,2G,EDGE,-1,-65,1445542255147,lena ,1445542251,0.005175541701069311,064$,$065,119655405,30.44253329945692,59.93144745229076
9,250-1-100-3981,14163,22 окт. 2015 г. 22:30:55,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542255147,lena ,1445542251,0.005175541701069311,064$,$065,119655405,30.44253329945692,59.93144745229076
10,1,3981,22 окт. 2015 г. 22:30:56,,100,250,1,ServiceLog,2G,EDGE,-1,-65,1445542256156,lena ,1445542251,0.008305486371632576,064$,$065,119655405,30.442623876361345,59.93142024472939
11,250-1-100-3981,14163,22 окт. 2015 г. 22:30:56,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542256156,lena ,1445542251,0.008305486371632576,064$,$065,119655405,30.442623876361345,59.93142024472939
12,1,3981,22 окт. 2015 г. 22:30:57,,100,250,1,ServiceLog,2G,EDGE,-1,-65,1445542257167,lena ,1445542251,0.012180586607043145,064$,$065,119655405,30.442736017188295,59.931386559749185
13,250-1-100-3981,14163,22 окт. 2015 г. 22:30:57,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542257167,lena ,1445542251,0.012180586607043145,064$,$065,119655405,30.442736017188295,59.931386559749185
14,1,3981,22 окт. 2015 г. 22:30:58,,100,250,1,ServiceLog,2G,EDGE,-1,-65,1445542258180,lena ,1445542251,0.016805230588941143,064$,$065,119655405,30.442869848926566,59.931346359185326
15,250-1-100-3981,14163,22 окт. 2015 г. 22:30:58,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542258180,lena ,1445542251,0.016805230588941143,064$,$065,119655405,30.442869848926566,59.931346359185326
16,1,3981,22 окт. 2015 г. 22:30:59,,100,250,1,ServiceLog,2G,EDGE,-1,-65,1445542259190,lena ,1445542251,0.022155494412738952,064$,$065,119655405,30.443024679246605,59.93129985097747
17,250-1-100-3981,14163,22 окт. 2015 г. 22:30:59,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542259190,lena ,1445542251,0.022155494412738952,064$,$065,119655405,30.443024679246605,59.93129985097747
18,1,3981,22 окт. 2015 г. 22:31:00,,100,250,1,ServiceLog,2G,EDGE,-1,-63,1445542260205,lena ,1445542251,0.02827595422157675,064$,$065,119655405,30.443201798129365,59.931246647611395
19,250-1-100-3981,14163,22 окт. 2015 г. 22:31:00,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542260205,lena ,1445542251,0.02827595422157675,064$,$065,119655405,30.443201798129365,59.931246647611395
20,1,3981,22 окт. 2015 г. 22:31:01,,100,250,1,ServiceLog,2G,EDGE,-1,-63,1445542261224,lena ,1445542251,0.035170494830049255,064$,$065,119655405,30.44340131799681,59.93118671528524
21,250-1-100-3981,14163,22 окт. 2015 г. 22:31:01,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542261224,lena ,1445542251,0.035170494830049255,064$,$065,119655405,30.44340131799681,59.93118671528524
22,1,3981,22 окт. 2015 г. 22:31:02,,100,250,1,ServiceLog,2G,EDGE,-1,-65,1445542262232,lena ,1445542251,0.04272992107362945,064$,$065,119655405,30.44362007886975,59.93112100316851
23,250-1-100-3981,14163,22 окт. 2015 г. 22:31:02,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542262232,lena ,1445542251,0.04272992107362945,064$,$065,119655405,30.44362007886975,59.93112100316851
24,1,3981,22 окт. 2015 г. 22:31:03,,100,250,1,ServiceLog,2G,EDGE,-1,-65,1445542263244,lena ,1445542251,0.05105902402667743,064$,$065,119655405,30.44383302153348,59.931030305809074
25,250-1-100-3981,14163,22 окт. 2015 г. 22:31:03,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542263244,lena ,1445542251,0.05105902402667743,064$,$065,119655405,30.44383302153348,59.931030305809074
26,1,3981,22 окт. 2015 г. 22:31:04,,100,250,1,ServiceLog,2G,EDGE,-1,-73,1445542264267,lena ,1445542251,0.06023193563773427,064$,$065,119655405,30.44405489519018,59.93092218680025
27,250-1-100-3981,14163,22 окт. 2015 г. 22:31:04,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542264267,lena ,1445542251,0.06023193563773427,064$,$065,119655405,30.44405489519018,59.93092218680025
28,1,3981,22 окт. 2015 г. 22:31:05,,100,250,1,ServiceLog,2G,EDGE,-1,-73,1445542265277,lena ,1445542251,0.0700312507034208,064$,$065,119655405,30.44429192024384,59.930806684128044
29,250-1-100-3981,14163,22 окт. 2015 г. 22:31:05,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542265277,lena ,1445542251,0.0700312507034208,064$,$065,119655405,30.44429192024384,59.930806684128044
30,1,3981,22 окт. 2015 г. 22:31:06,,100,250,1,ServiceLog,2G,EDGE,-1,-91,1445542266293,lena ,1445542251,0.08063359064490491,064$,$065,119655405,30.444548368799342,59.93068171590064
31,250-1-100-3981,14163,22 окт. 2015 г. 22:31:06,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542266293,lena ,1445542251,0.08063359064490491,064$,$065,119655405,30.444548368799342,59.93068171590064
32,1,3981,22 окт. 2015 г. 22:31:06,654,100,250,1,Ладожская 4,2G,EDGE,-1,-91,1445542266443,lena ,1445542251,0.08063359064490491,064$,$065,119655405,30.444548368799342,59.93068171590064
33,250-1-100-3981,14163,22 окт. 2015 г. 22:31:06,654,7803,250,2,Ладожская 4,2G,EDGE,-1,-67,1445542266443,lena ,1445542251,0.08063359064490491,064$,$065,119655405,30.444548368799342,59.93068171590064
34,1,3981,22 окт. 2015 г. 22:31:07,,100,250,1,ServiceLog,2G,EDGE,-1,-91,1445542267317,lena ,1445542251,0.09017028436487147,064$,$065,119655405,30.444779041588774,59.93056930788691
35,250-1-100-3981,14163,22 окт. 2015 г. 22:31:07,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542267317,lena ,1445542251,0.09017028436487147,064$,$065,119655405,30.444779041588774,59.93056930788691
36,1,3981,22 окт. 2015 г. 22:31:08,,100,250,1,ServiceLog,2G,EDGE,-1,-107,1445542268329,lena ,1445542251,0.10121277484237812,064$,$065,119655405,30.445046136470445,59.930439150728056
37,250-1-100-3981,14163,22 окт. 2015 г. 22:31:08,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542268329,lena ,1445542251,0.10121277484237812,064$,$065,119655405,30.445046136470445,59.930439150728056
38,1,3981,22 окт. 2015 г. 22:31:09,,100,250,1,ServiceLog,2G,EDGE,-1,-107,1445542269345,lena ,1445542251,0.1122989109617587,064$,$065,119655405,30.445314287049428,59.930308478606975
39,250-1-100-3981,14163,22 окт. 2015 г. 22:31:09,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542269345,lena ,1445542251,0.1122989109617587,064$,$065,119655405,30.445314287049428,59.930308478606975
40,1,3981,22 окт. 2015 г. 22:31:10,,100,250,1,ServiceLog,2G,EDGE,-1,-107,1445542270358,lena ,1445542251,0.12335231219935472,064$,$065,119655405,30.445581645839702,59.930178191819
41,250-1-100-3981,14163,22 окт. 2015 г. 22:31:10,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542270358,lena ,1445542251,0.12335231219935472,064$,$065,119655405,30.445581645839702,59.930178191819
42,1,3981,22 окт. 2015 г. 22:31:11,,100,250,1,ServiceLog,2G,EDGE,-1,-107,1445542271373,lena ,1445542251,0.13442753495712945,064$,$065,119655405,30.445849532447163,59.93004764730684
43,250-1-100-3981,14163,22 окт. 2015 г. 22:31:11,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542271373,lena ,1445542251,0.13442753495712945,064$,$065,119655405,30.445849532447163,59.93004764730684
44,1,3981,22 окт. 2015 г. 22:31:12,,100,250,1,ServiceLog,2G,EDGE,-1,-103,1445542272384,lena ,1445542251,0.14545911467454675,064$,$065,119655405,30.446116363420234,59.92991761670791
45,250-1-100-3981,14163,22 окт. 2015 г. 22:31:12,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542272384,lena ,1445542251,0.14545911467454675,064$,$065,119655405,30.446116363420234,59.92991761670791
46,1,3981,22 окт. 2015 г. 22:31:13,,100,250,1,ServiceLog,2G,EDGE,-1,-103,1445542273396,lena ,1445542251,0.1565016025505369,064$,$065,119655405,30.44638345823898,59.92978745702272
47,250-1-100-3981,14163,22 окт. 2015 г. 22:31:13,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542273396,lena ,1445542251,0.1565016025505369,064$,$065,119655405,30.44638345823898,59.92978745702272
48,1,3981,22 окт. 2015 г. 22:31:14,,100,250,1,ServiceLog,2G,EDGE,-1,-99,1445542274413,lena ,1445542251,0.16759865203152335,064$,$065,119655405,30.44665187278949,59.92965665369611
49,250-1-100-3981,14163,22 окт. 2015 г. 22:31:14,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542274413,lena ,1445542251,0.16759865203152335,064$,$065,119655405,30.44665187278949,59.92965665369611
50,1,3981,22 окт. 2015 г. 22:31:15,,100,250,1,ServiceLog,2G,EDGE,-1,-99,1445542275432,lena ,1445542251,0.178717520431172,064$,$065,119655405,30.44692081509427,59.929525592667886
51,250-1-100-3981,14163,22 окт. 2015 г. 22:31:15,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542275432,lena ,1445542251,0.178717520431172,064$,$065,119655405,30.44692081509427,59.929525592667886
52,1,3981,22 окт. 2015 г. 22:31:16,,100,250,1,ServiceLog,2G,EDGE,-1,-101,1445542276442,lena ,1445542251,0.18973818678698348,064$,$065,119655405,30.44718738209582,59.929395688662055
53,250-1-100-3981,14163,22 окт. 2015 г. 22:31:16,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542276442,lena ,1445542251,0.18973818678698348,064$,$065,119655405,30.44718738209582,59.929395688662055
54,1,3981,22 окт. 2015 г. 22:31:17,,100,250,1,ServiceLog,2G,EDGE,-1,-101,1445542277463,lena ,1445542251,0.2008788819098438,064$,$065,119655405,30.44745685234365,59.92926436932297
55,250-1-100-3981,14163,22 окт. 2015 г. 22:31:17,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542277463,lena ,1445542251,0.2008788819098438,064$,$065,119655405,30.44745685234365,59.92926436932297
56,1,3981,22 окт. 2015 г. 22:31:18,,100,250,1,ServiceLog,2G,EDGE,-1,-101,1445542278473,lena ,1445542251,0.21189954826565524,064$,$065,119655405,30.4477234193452,59.92913446429423
57,250-1-100-3981,14163,22 окт. 2015 г. 22:31:18,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542278473,lena ,1445542251,0.21189954826565524,064$,$065,119655405,30.4477234193452,59.92913446429423
58,1,3981,22 окт. 2015 г. 22:31:19,,100,250,1,ServiceLog,2G,EDGE,-1,-101,1445542279484,lena ,1445542251,0.22293112538155607,064$,$065,119655405,30.447990250255348,59.92900443014651
59,250-1-100-3981,14163,22 окт. 2015 г. 22:31:19,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542279484,lena ,1445542251,0.22293112538155607,064$,$065,119655405,30.447990250255348,59.92900443014651
60,1,3981,22 окт. 2015 г. 22:31:20,,100,250,1,ServiceLog,2G,EDGE,-1,-103,1445542280499,lena ,1445542251,0.2340063507408473,064$,$065,119655405,30.448258136925737,59.928873880984646
61,250-1-100-3981,14163,22 окт. 2015 г. 22:31:20,,7803,250,2,ServiceLog,2G,EDGE,-1,-67,1445542280499,lena ,1445542251,0.2340063507408473,064$,$065,119655405,30.448258136925737,59.928873880984646
