Segment,lc,user,race_id,mean,meas,stdev,system,weight
006-007,660-6890007,md,429072135,-89.0714285714,28.0,2.10320455205,0.0,0.226066897347
006-007,660-6890007,yellow,28080304,-91.0,7.0,0.0,,inf
006-007,660-6890007,yellow,508401056,-91.0,19.0,0.0,,inf
028-029,770-11963,Bishop,522749622,-65.8,5.0,0.979795897113,-0.918969555035,1.04166666667
028-029,770-11963,md,688770813,-80.3333333333,9.0,3.77123616633,13.6143637783,0.0703125
068-069,26627-129593727,Andrey,888017168,-89.0540540541,37.0,0.868236670498,0.345889999874,1.3265503876
068-069,26627-129593727,Kolka,169585408,-91.0,33.0,3.30289129538,2.29183594582,0.0916666666667
068-069,26627-129593727,User1,129016527,-83.0,30.0,2.92118697336,-5.70816405418,0.1171875
068-069,26627-129593727,User1,434808809,-89.0540540541,37.0,0.868236670498,0.345889999874,1.3265503876
068-069,26627-129593727,User1,985655765,-91.0,33.0,3.30289129538,2.29183594582,0.0916666666667
068-069,26627-129593727,balash,429054570,-83.0,30.0,2.92118697336,-5.70816405418,0.1171875
068-069,26627-19055,Kolka,169585408,-97.0,5.0,0.0,,inf
068-069,26627-19055,User1,129016527,-80.0,8.0,1.0,0.0,1.0
068-069,26627-19055,User1,985655765,-97.0,5.0,0.0,,inf
068-069,26627-19055,balash,429054570,-80.0,8.0,1.0,0.0,1.0
069-070,26627-129593748,Andrey,405465261,-100.674418605,43.0,6.12930790217,4.85004236302,0.0266181043418
069-070,26627-129593748,Kolka,873195794,-95.5217391304,23.0,2.51723736107,-0.302637111199,0.157816229117
069-070,26627-129593748,User1,16437286,-95.5,28.0,4.39561469779,-0.324376241633,0.0517560073937
069-070,26627-129593748,User1,756118639,-95.5217391304,23.0,2.51723736107,-0.302637111199,0.157816229117
069-070,26627-129593748,balash,591195792,-95.5,28.0,4.39561469779,-0.324376241633,0.0517560073937
069-070,26627-19076,Kolka,873195794,-93.0,19.0,0.0,,inf
069-070,26627-19076,User1,16437286,-76.6363636364,11.0,3.69945271807,0.0,0.0730676328502
069-070,26627-19076,User1,756118639,-93.0,19.0,0.0,,inf
069-070,26627-19076,balash,591195792,-76.6363636364,11.0,3.69945271807,0.0,0.0730676328502
070-069,26627-129593727,Andrey,338751845,-94.0625,32.0,4.38703701261,0.0,0.0519585954942
070-069,26627-129593727,Kolka,999722769,-91.0,32.0,0.0,,inf
070-069,26627-129593727,User1,373096833,-91.0,32.0,0.0,,inf
070-071,26627-129593677,Andrey,323608640,-97.0588235294,34.0,6.06795428494,5.53703384173,0.0271591015882
070-071,26627-129593677,Andrey,959725669,-80.4838709677,31.0,4.97653181308,-11.0379187199,0.0403781512605
070-071,26627-129593677,Andrey,987484750,-93.5555555556,36.0,5.95559701478,2.03376586787,0.0281935259311
070-071,26627-129593677,Kolka,333611254,-91.0,34.0,0.0,,inf
070-071,26627-129593677,Kolka,916446107,-91.9375,32.0,2.17855313224,0.415710312319,0.210699588477
070-071,26627-129593677,User1,298234434,-97.0588235294,34.0,6.06795428494,5.53703384173,0.0271591015882
070-071,26627-129598352,Kolka,602898296,-92.2352941176,34.0,2.42606948556,0.0,0.169900058789
070-071,26627-129598352,User1,17718731,-92.2352941176,34.0,2.42606948556,0.0,0.169900058789
070-071,26627-19005,Andrey,323608640,-73.0,3.0,0.0,,inf
070-071,26627-19005,Andrey,959725669,-75.0,3.0,0.0,,inf
070-071,26627-19005,User1,298234434,-73.0,3.0,0.0,,inf
070-071,26627-19005,User1,728158060,-79.0,37.0,2.6711673731,0.0,0.140151515152
070-071,26627-19005,balash,446059327,-79.0,37.0,2.6711673731,0.0,0.140151515152
071-070,26627-129593748,Andrey,175636345,-101.875,32.0,1.72753437014,3.05761793953,0.335078534031
071-070,26627-129593748,User1,267219782,-95.9722222222,72.0,1.66643516911,-2.84515983825,0.360100027785
071-070,26627-19076,Kolka,929809630,-90.2258064516,31.0,4.41923710698,0.0,0.0512041773231
071-070,26627-19076,User1,953582563,-90.2258064516,31.0,4.41923710698,0.0,0.0512041773231
071-072,26803-129598286,Andrey,198059837,-87.0,34.0,0.0,,inf
071-072,26803-129598286,Kolka,865969571,-93.9090909091,33.0,2.99862227318,2.71502729664,0.111213235294
071-072,26803-129598286,User1,240880752,-93.9090909091,33.0,2.99862227318,2.71502729664,0.111213235294
071-072,26803-129598286,User1,328119329,-87.0,34.0,0.0,,inf
071-072,26803-129598286,User1,744464410,-89.9333333333,30.0,1.91369334592,-1.26073027912,0.273058252427
071-072,26803-129598286,balash,318915688,-89.9333333333,30.0,1.91369334592,-1.26073027912,0.273058252427
071-072,26803-129598286,taimyr,947262018,-91.8571428571,7.0,2.7994168489,0.663079244693,0.127604166667
071-072,660-6930100,md,507989077,-83.0666666667,30.0,1.31487219489,1.79216024556,0.578406169666
071-072,660-6930100,taimyr,947262018,-80.5384615385,13.0,0.842650088469,-0.736044882647,1.40833333333
072-071,26627-129593677,Andrey,328652562,-98.3125,32.0,1.28543523758,-1.33020753358,0.605200945626
072-071,26627-129593677,Andrey,419417075,-101.580645161,31.0,0.907822405127,1.93793762771,1.21338383838
072-071,26627-129593677,Kolka,158533572,-97.0,31.0,0.0,,inf
072-071,26627-129593677,Kolka,678982154,-96.0322580645,31.0,2.20679114535,-3.61044946906,0.205341880342
